Year,Year Code,Country Name,Country Code,GDP,Compulsory years - legal,Entrance age to education,Govt Expenditure (USD),GER - tertiary education,GER - Primary,Overall Labour Force,Labor force - advanced education,Labor force - basic education,Early childhood enrollment,Early childhood enrollment - pre primary,GER - tertiary -Male,GER - tertiary -Female,Net flow - international students,Outbound mobility ratio,Youth literacy rate,Unemployment,"Unemployment, male","Unemployment, female",Percentage with no schooling - adults,Net enrollment rate,Net enrollment rate - upper secondary,Teachers - secondary education
2012,YR2012,United Kingdom,GBR,42462.71491,11,5,150820.2426,59.40212,106.24608,32584504,83.67579651,56.61700058,1281727,1281727,51.18652,67.86715,401085,1.06584,95.6174975,7.885000229,8.31400013,7.383999825,0.15979,98.49614,90.77905,151426
2012,YR2012,Switzerland,CHE,83538.21282,9,5,33625.12112,55.52047,103.15372,4597138,81.45149994,49.74769974,149660,149660,55.55059,55.48953,32689,4.36952,99.2928,4.485000134,4.276000023,4.729000092,0.2588,99.61168,77.43487,34752
2012,YR2012,Spain,ESP,28324.42934,10,6,59210.73219,82.27033,105.24018,23581654,82.72519684,47.44459915,1834423.833,1381511.667,74.29729,90.69085,24884,1.57057,99.61991,24.78700066,24.58099937,25.0340004,2.3211,99.88318,88.95521,181946
2012,YR2012,Mexico,MEX,10241.72792,12,4,61292.85176,29.47184,110.41345,51369079,80.8687973,58.57799911,4716545,4716545,29.78086,29.16375,-19755,0.87657,99.24526,4.887000084,4.893000126,4.876999855,8.44448,99.6698,60.53173,410704
2012,YR2012,Japan,JPN,48603.47665,9,6,227349.2657,49.23432,99.34857,65639408,76.88999939,70.39475115,3476431,2850735,43.32111,56.39484,117117,0.86237,96.94794933,4.300000191,4.548999786,3.954999924,1.23498,97.99348,65.23498,274896
2012,YR2012,Germany,DEU,43858.36306,13,6,174835.7737,60.43222,101.6142,41735942,74.16429901,40.28979874,2814831,2201983,62.23452,56.98232,75698,4.37297,99.59972,5.379000187,5.551000118,5.176000118,0,96.70482,89.41228,401403
2012,YR2012,France,FRA,40874.70351,10,6,142980,57.90901,102.52316,29984799,78.36270142,35.00299835,2564469,2564469,51.44333,64.59659,207173,2.79691,99.43218667,9.399999619,9.437999725,9.357999802,0.00037,99.63011,93.85723,223438
2012,YR2012,China,CHN,6316.918863,9,6,17040.2,28.72567,99.7911,780282595,83.55,86.48,34244456,34244456,27.31908,30.26018,-609543,2.14363,99.29699925,4.570000172,5.048999786,3.960000038,6.18975,97.826,89.25,3667196
2012,YR2012,Singapore,SGP,55546.48854,6,6,8578.47035,82.2384,99.3529,3207317,89.3478,81.78454,2895275,1791885.133,67.34534,67.34593,26834,8.65646,99.89494,3.720000029,3.367000103,4.234000206,0.0154,99.92011594,99.91229714,267938
2012,YR2012,Malaysia,MYS,10817.44287,6,6,18045.99561,37.61231,102.74181,13336103,66,66.94999695,833121,833121,32.22861,43.28743,-3237,5.52073,98.633114,3.039999962,2.970999956,3.161999941,8.208759,98.54356,69.2579,275615
2012,YR2012,Uruguay,URY,15171.58466,12,4,2343.973066,58.30424714,112.01014,1730349,82.99559784,64.7798996,176477,128977,36.48666667,43.5822,-21025,2.88392,98.93646,6.451000214,4.938000202,8.31099987,1.16823,99.77185,81.12665,19429
2012,YR2012,Thailand,THA,5860.58061,9,6,18036.06783,50.67901,97.02945,40105864,87.75,73.97000122,2731480,1727778.4,43.79965,57.67101,-6291,1.09443,96.90061833,0.579999983,0.621999979,0.531000018,3.923423,97.96249071,77.97347,127776
2013,YR2013,Argentina,ARG,13080.25473,12,5,30011.42828,78.2239,112.01195,18931350,82.6486969,49.78160095,1677440,1566810,60.34128,96.55508,63429,0.27299,99.55132,7.099999905,6.119999886,8.484000206,0.78479,99.59191,87.1682,224158
2013,YR2013,Brazil,BRA,12300.32258,12,4,144383.4178,46.22134,133.5467,98903783,81.26139832,69.35759735,7607577,4870332,39.44523,50.23433, ,0.52459,99.01958,6.975999832,5.662000179,8.770999908,12.34323,94.76733,86.04483,809183
2013,YR2013,Chile,CHL,15842.94081,12,6,12609.22623,79.95629,101.45874,8556606,84.25219727,49.30239868,731552,586616,75.80151,84.24253,-9969,1.10473,99.13841,6.214000225,5.545000076,7.173999786,2.86851,96.05307,92.97819,25068
2013,YR2013,United Kingdom,GBR,43444.56484,11,5,149574.9062,57.03876,107.112,32898627,84.0687027,56.64160156,1516079.92,1258174.253,49.26336,65.08417,388074,1.19937,95.6174975,7.525000095,7.946000099,7.037000179,0.13935,99.72458,94.18203,146105.3971
2013,YR2013,Switzerland,CHE,85112.4696,9,5,34703.91703,56.27015,103.60148,4655996,81.34010315,50.30360031,157798,157798,55.93575,56.61547,34934,4.36244,99.4778975,4.747000217,4.599999905,4.918000221,0.2673,99.78762,79.74875,35440
2013,YR2013,Spain,ESP,29059.54795,10,6,58945.7449,83.72564,108.19378,23386629,81.98020172,46.94589996,1915000,1465571,75.80396,92.07241,26319,1.52541,99.62942,26.09399986,25.60300064,26.67300034,2.247153333,99.77058,90.35061,132206
2013,YR2013,Mexico,MEX,10725.18332,12,4,59848.43559,30.30004,109.44148,52139332,80.59210205,58.38029861,5016824,4772612,30.64125,29.95729,-19974,0.84823,99.083,4.914000034,4.888999939,4.955999851,8.05573,99.5963,65.41491,428939
2013,YR2013,Japan,JPN,40454.44746,9,6,227371.3044,49.331295,99.812952,65970039,77.51000214,70.23472,2910036,2910036,42.2342,56.78723,102376,0.86537,96.94794933,4,4.250999928,3.657999992,2.237605625,98.05180857,69.23613667,277555
2013,YR2013,Germany,DEU,46285.76407,13,6,185185.4951,61.38684,100.83825,42101062,73.98259735,40.75669861,2884997,2207123,63.23872,59.43399,76110,4.33485,99.59972,5.230999947,5.500999928,4.914000034,0,96.41053,88.7355,400878.3985
2013,YR2013,France,FRA,42592.93409,10,6,144370.112,59.84876,102.27644,30126536,78.1434021,33.30400085,2560774,2560774,53.42694,66.50814,151985,3.27843,99.43218667,9.920999527,10.03999996,9.788999557,0.00036,99.42077,94.18028,227044
